자치구 기준일,수원,고양,용인,성남,부천,안산,화성,남양주,안양,평택,의정부,파주,시흥,김포,광명,광주,군포,이천,오산,하남,양주,구리,안성,포천,의왕,여주,양평,동두천,과천,가평,연천
2022.09.26.00,397 ,325 ,347 ,236 ,332 ,196 ,327 ,187 ,134 ,179 ,129 ,161 ,166 ,165 ,115 ,52 ,98 ,63 ,98 ,103 ,64 ,47 ,47 ,49 ,30 ,25 ,17 ,28 ,31 ,11 ,9 
2022.09.25.00,694 ,590 ,404 ,524 ,401 ,326 ,555 ,372 ,305 ,265 ,248 ,272 ,279 ,294 ,142 ,199 ,117 ,89 ,157 ,173 ,143 ,75 ,106 ,64 ,68 ,44 ,43 ,60 ,30 ,31 ,18 
2022.09.24.00,750 ,608 ,602 ,574 ,441 ,397 ,534 ,406 ,302 ,367 ,302 ,315 ,352 ,317 ,197 ,227 ,165 ,115 ,177 ,145 ,161 ,95 ,150 ,81 ,78 ,39 ,73 ,42 ,36 ,70 ,17 
2022.09.23.00,754 ,606 ,581 ,552 ,515 ,391 ,541 ,390 ,297 ,377 ,272 ,297 ,357 ,321 ,184 ,222 ,140 ,139 ,161 ,169 ,196 ,96 ,125 ,115 ,70 ,56 ,81 ,52 ,48 ,49 ,33 
2022.09.22.00,818 ,676 ,653 ,648 ,574 ,443 ,677 ,422 ,304 ,390 ,317 ,338 ,416 ,383 ,191 ,223 ,188 ,136 ,182 ,178 ,155 ,87 ,126 ,129 ,84 ,65 ,89 ,55 ,42 ,62 ,33 
2022.09.21.00,981 ,919 ,885 ,740 ,964 ,585 ,750 ,516 ,422 ,519 ,311 ,385 ,503 ,436 ,228 ,293 ,224 ,194 ,261 ,176 ,255 ,149 ,231 ,145 ,117 ,85 ,113 ,75 ,55 ,54 ,33 
2022.09.20.00,"1,353 ","1,128 ","1,017 ",967 ,313 ,617 ,921 ,728 ,516 ,650 ,542 ,439 ,669 ,495 ,314 ,405 ,263 ,217 ,232 ,249 ,242 ,171 ,171 ,150 ,139 ,67 ,143 ,44 ,79 ,39 ,36 
2022.09.19.00,455 ,508 ,370 ,354 ,498 ,373 ,511 ,251 ,187 ,268 ,229 ,191 ,197 ,263 ,110 ,52 ,146 ,73 ,124 ,124 ,108 ,63 ,43 ,51 ,35 ,26 ,33 ,43 ,39 ,11 ,20 
2022.09.18.00,841 ,624 ,621 ,617 ,623 ,463 ,558 ,499 ,320 ,394 ,316 ,345 ,425 ,419 ,170 ,217 ,114 ,127 ,189 ,210 ,178 ,127 ,128 ,86 ,93 ,73 ,60 ,70 ,41 ,46 ,24 
2022.09.17.00,"1,097 ",861 ,792 ,739 ,707 ,591 ,813 ,557 ,440 ,528 ,454 ,407 ,470 ,499 ,249 ,305 ,196 ,200 ,242 ,236 ,186 ,126 ,193 ,164 ,104 ,95 ,115 ,102 ,47 ,56 ,38 
