연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월
1,1,150,서울역(1),1665615,1731415,2151073,2169585,2171210,2245258,1912852,1840593,1882628,2212459,2491557,2333219
2,1,151,시청(1),832294,838487,1068719,1070338,1017717,1085271,955310,896665,903591,1022125,1193426,1144038
3,1,152,종각,1333773,1373047,1721016,1691520,1640021,1746320,1514258,1414057,1381266,1568058,1813959,1726468
4,1,153,종로3가(1),970740,1053891,1342837,1309733,1303824,1322896,1183727,1161348,1164806,1332802,1370551,1278414
5,1,154,종로5가,931135,946799,1211388,1178961,1165557,1199921,1068212,1012353,1036556,1163564,1189019,1156939
6,1,155,동대문(1),500942,514953,631807,627027,648600,634545,571654,540514,575207,625324,634868,603581
7,1,156,신설동(1),604216,602344,750003,738638,708679,736535,676328,641547,656819,709211,752326,721705
8,1,157,제기동,819130,811142,985518,967062,924707,935793,846168,838121,903986,947908,953554,900289
9,1,158,청량리,949029,953210,1148395,1129661,1110415,1114670,1013546,991640,1024454,1099480,1109419,1070737
10,1,159,동묘앞(1),442845,462015,567048,566001,573940,544212,465872,473360,518323,575338,532638,487339
11,2,201,시청(2),912461,906390,1132412,1108170,1000583,1103976,984653,926286,896534,992519,1177573,1141199
12,2,202,을지로입구,1617989,1605178,1972501,1937455,1813491,1979102,1736569,1646178,1624024,1788608,2043305,2144533
13,2,203,을지로3가(2),842756,846688,1064269,1062559,1022306,1119609,973043,913915,889838,999617,1164838,1151629
14,2,204,을지로4가(2),556599,527805,652472,645218,609543,656407,590107,562452,555538,613475,672114,665580
15,2,205,동대문역사문화공원(2),559288,561916,720692,703244,700113,714970,634651,600132,618242,702825,738929,751653
16,2,206,신당(2),632008,630911,777186,761704,752043,757520,691151,668439,674668,743768,772719,768507
17,2,207,상왕십리,605412,596640,748395,738271,721122,750853,676904,649184,650296,714064,761692,757504
18,2,208,왕십리(2),627101,645878,815950,794157,792347,794844,697797,659995,661739,766768,835983,830541
19,2,209,한양대,282688,276973,427730,451162,402062,435669,314718,286289,300610,381161,483329,419578
20,2,210,뚝섬,906177,936593,1171214,1226469,1168763,1246006,1052293,1004697,1017820,1121120,1217253,1203845
21,2,211,성수,1508679,1524515,1882691,1859683,1783688,1914570,1745154,1663133,1655811,1808145,2008205,1997709
22,2,212,건대입구(2),1559472,1562541,1980259,1943146,2016768,1975420,1713661,1652188,1690091,1934543,2076517,2023002
23,2,213,구의,1042589,1021888,1245313,1226223,1197502,1234573,1138977,1089404,1083850,1182939,1267226,1261373
24,2,214,강변,1296067,1390148,1648410,1627221,1656568,1664609,1472079,1429845,1484843,1642542,1728360,1654500
25,2,215,잠실나루,588218,577376,737225,730978,698600,743639,657502,633602,635014,702471,756672,722541
26,2,216,잠실(2),2801816,2968974,3613760,3532496,3580982,3626285,3144448,3063179,3077648,3621440,3897410,3937736
27,2,217,잠실새내,904687,913361,1121156,1106177,1105448,1124104,1012411,961680,960776,1078102,1161291,1144544
28,2,218,종합운동장(2),295571,301669,410314,455298,444174,475036,367915,331651,343578,408317,553024,409102
29,2,219,삼성,2077443,2078071,2667002,2558350,2488698,2682417,2201040,2157850,2107001,2421321,2829759,2852811
30,2,220,선릉,2180966,2099212,2671125,2598806,2424258,2645486,2388170,2237019,2159483,2400610,2727518,2668961
31,2,221,역삼,2148397,2080174,2632907,2591175,2411891,2649413,2351213,2211914,2143928,2366306,2756968,2704995
32,2,222,강남,3420667,3630947,4443519,4286208,4199304,4391227,3945716,3703216,3566522,3997688,4486488,4376894
33,2,223,교대(2),1486392,1463942,1864445,1823151,1718892,1838953,1648365,1565573,1540912,1700925,1878044,1818599
34,2,224,서초,867838,868178,1096651,1096438,1035909,1113749,967602,916592,900222,1012046,1148319,1104947
35,2,225,방배,731814,713586,969970,912873,879404,907743,770547,733629,768392,863053,952464,889132
36,2,226,사당(2),1638574,1669823,2101624,2053560,2019032,2064604,1787516,1714576,1746886,2019542,2222627,2098939
37,2,227,낙성대,1212720,1183869,1478081,1451154,1424617,1461552,1334890,1287663,1273479,1406489,1476128,1458183
38,2,228,서울대입구,2078878,2084095,2584538,2518888,2487947,2547397,2325462,2236308,2209642,2467259,2612387,2575023
39,2,229,봉천,1052373,1018747,1268509,1251302,1217081,1252532,1146054,1099133,1090744,1186633,1241575,1227936
40,2,230,신림,2852772,2785273,3395715,3327827,3284797,3353828,3094710,2979458,2942668,3250063,3411496,3420746
41,2,231,신대방,1180400,1149294,1422489,1422961,1390480,1424274,1306929,1254084,1253830,1370094,1435425,1413109
42,2,232,구로디지털단지,2649134,2579458,3239464,3178810,2994804,3179377,2853880,2677531,2626676,2882654,3185653,3144493
43,2,233,대림(2),1135900,1113768,1382216,1366779,1338652,1359810,1221550,1173498,1180946,1287623,1343707,1314392
44,2,234,신도림,2130410,2152669,2668901,2629268,2589688,2653851,2338583,2206766,2222535,2529362,2682806,2597229
45,2,235,문래,902646,897279,1120450,1114344,1072372,1130466,1005934,946392,937859,1036997,1151483,1126196
46,2,236,영등포구청(2),1004296,974729,1222769,1199795,1138328,1199862,1091841,1022425,1018879,1121468,1227939,1227893
47,2,237,당산,849884,851290,1097121,1095639,1051711,1093464,943924,900325,918190,1015737,1090290,1050287
48,2,238,합정(2),1312952,1392778,1710658,1682212,1704559,1752751,1497555,1480819,1479245,1689384,1800610,1771912
49,2,239,홍대입구,2167483,2548331,3001485,2881913,3156811,3087947,2414456,2528741,2612890,3026935,3213751,3242743
50,2,240,신촌,1379691,1466801,1802171,1744999,1790016,1786214,1605956,1550182,1560064,1728612,1846315,1812177
51,2,241,이대,497923,520422,703231,665148,702527,704897,614674,594487,616452,684616,770831,723402
52,2,242,아현,439236,432297,560692,553417,540203,556053,495105,477824,486032,536187,555015,539973
53,2,243,충정로(2),433878,425944,541193,535191,505678,540163,477222,443960,443934,490524,544353,535026
54,2,244,용답,124076,120465,159460,156713,156350,157634,141238,134734,138768,153007,162721,158683
55,2,245,신답,76247,74710,93583,91449,88912,93384,85219,81622,81329,88859,95719,94835
56,2,246,신설동(2),165293,163289,192995,193096,190941,187665,170073,164771,166879,170242,195849,194187
57,2,247,도림천,65222,62755,78003,77341,73184,77577,69782,64547,63902,68876,73763,75195
58,2,248,양천구청,303418,305338,378645,375170,366438,378965,336841,319918,327265,360280,383545,373109
59,2,249,신정네거리,446935,450570,570032,568705,553386,562887,513529,491522,492768,542003,574505,558336
60,2,250,용두,111786,109876,131689,129728,125341,129446,123412,116763,118841,123346,130833,133582
61,3,309,지축,153282,162558,211487,214099,208171,219520,206117,206894,211304,231089,242157,236058
62,3,310,구파발,871867,883637,1095392,1083163,1066317,1094625,1003387,962401,966988,1077562,1127225,1091005
63,3,311,연신내(3),1638082,1645859,2005917,1977782,1956185,1980134,1811373,1747537,1768648,1922030,1980136,1945206
64,3,312,불광(3),759572,760056,943271,930114,922595,936018,848423,811433,843143,924874,954532,918415
65,3,313,녹번,623129,608940,763472,749987,739037,773916,708552,676223,683202,748248,800738,789337
66,3,314,홍제,746809,741535,942693,931076,903679,908424,824507,788798,811650,894134,931003,902262
67,3,315,무악재,178617,177246,219232,213407,206401,212688,194205,187506,190715,209103,219070,212668
68,3,316,독립문,307515,317227,402425,407947,400598,397832,342807,335946,358398,399468,410020,374912
69,3,317,경복궁,740923,810369,996900,1019875,1025435,1033148,889368,863938,937712,1086208,1237185,1049244
70,3,318,안국,739995,807137,1073875,1041652,1030073,1057826,882883,858025,919422,1091103,1225781,1074674
71,3,319,종로3가(3),424333,443126,562692,552856,544955,564972,497034,477962,485476,551376,578485,571282
72,3,320,을지로3가(3),436016,426989,537288,529491,504272,548070,481815,447953,436800,490393,560959,553467
73,3,322,동대입구,316620,323810,434980,451234,422918,414043,361075,357042,381945,435911,488795,445889
74,3,323,약수(3),558282,557186,691464,683456,666010,692128,624509,596020,608400,664344,698362,691441
75,3,324,금호,359704,357506,440791,434174,422205,430549,387058,371763,375590,406762,425655,419001
76,3,325,옥수,416475,425973,525562,520574,508512,521053,461392,447264,457221,498881,516843,498376
77,3,326,압구정,1452885,1470295,1746173,1703504,1661633,1739145,1588291,1491979,1479398,1615717,1757572,1806620
78,3,327,신사,1412812,1446824,1690010,1632471,1592931,1646675,1462466,1398140,1381641,1578755,1701853,1717384
79,3,328,잠원,203015,207467,262228,260168,250171,260546,227796,218853,225439,248730,266605,256525
80,3,329,고속터미널(3),1815822,2024617,2299081,2271907,2395198,2330472,1997880,1957591,2119551,2349726,2427771,2400419
81,3,330,교대(3),477981,467579,600086,588176,553021,594572,527263,497163,495769,550669,612915,588555
82,3,331,남부터미널,1290304,1315654,1577940,1526677,1545141,1579424,1395096,1367264,1350996,1491978,1612770,1564503
83,3,332,양재,1680928,1636039,2081853,2069053,1958521,2078106,1852249,1743399,1723860,1932718,2154224,2103750
84,3,333,매봉,520516,500701,624465,626025,588384,631373,579425,542522,535789,579443,640818,630162
85,3,334,도곡,236691,232457,297410,295739,279933,288688,258025,238639,239155,266870,296203,280776
86,3,335,대치,484685,494655,598352,571749,566730,583273,548888,534474,531019,562525,588515,554028
87,3,336,학여울,78922,85367,113261,127381,121754,115327,92639,81382,101093,123542,131844,112761
88,3,337,대청,399843,395049,502388,495725,473018,503290,461310,442432,448713,488537,522622,510769
89,3,338,일원,417694,400287,505211,502640,473740,513797,458965,443074,447039,474968,521339,509599
90,3,339,수서,712679,727311,936523,939528,927232,952427,841835,810205,812071,925189,979821,961623
91,3,340,가락시장(3),400926,397372,487019,474654,452556,471561,424153,402849,398042,437081,479505,464904
