"line","name_kor","btwdist","cumdist","name"
1,"서울역",0,0,"Seoul Station"
1,"시청",1.1,1.1,"City Hall"
1,"종각",1,2.1,"Jonggak"
1,"종로3가",0.8,2.9,"Jongno 3(sam)-ga"
1,"종로5가",0.9,3.8,"Jongno 5(o)-ga"
1,"동대문",0.8,4.6,"Dongdaemun"
1,"동묘앞",0.6,5.2,"Dongmyo"
1,"신설동",0.7,5.9,"Sinseol-dong"
1,"제기동",0.9,6.8,"Jegi-dong"
1,"청량리",1,7.8,"Cheongnyangni"
2,"시청",0,0,"City Hall"
2,"을지로입구",0.7,0.7,"Euljiro 1(il)-ga"
2,"을지로3가",0.8,1.5,"Euljiro 3(sam)-ga"
2,"을지로4가",0.6,2.1,"Euljiro 4(sa)-ga"
2,"동대문역사문화공원",1,3.1,"Dongdaemun History  Culture Park"
2,"신당",0.9,4,"Sindang"
2,"상왕십리",0.9,4.9,"Sangwangsimni"
2,"왕십리",0.8,5.7,"Wangsimni"
2,"한양대",1,6.7,"Hanyang Univ."
2,"뚝섬",1.1,7.8,"Ttukseom"
2,"성수",0.8,8.6,"Seongsu"
2,"건대입구",1.2,9.8,"Konkuk Univ."
2,"구의",1.6,11.4,"Guui"
2,"강변",0.9,12.3,"Gangbyeon"
2,"잠실나루",1.8,14.1,"Jamsillaru"
2,"잠실",1,15.1,"Jamsil"
2,"잠실새내",1.2,16.3,"Jamsilsaenae"
2,"종합운동장",1.2,17.5,"Sports Complex"
2,"삼성",1,18.5,"Samseong"
2,"선릉",1.3,19.8,"Seolleung"
2,"역삼",1.2,21,"Yeoksam"
2,"강남",0.8,21.8,"Gangnam"
2,"교대",1.2,23,"Seoul Nat`l Univ. of Education"
2,"서초",0.7,23.7,"Seocho"
2,"방배",1.7,25.4,"Bangbae"
2,"사당",1.6,27,"Sadang"
2,"낙성대",1.7,28.7,"Nakseongdae"
2,"서울대입구",1,29.7,"Seoul Nat`l Univ."
2,"봉천",1,30.7,"Bongcheon"
2,"신림",1.1,31.8,"Sillim"
2,"신대방",1.8,33.6,"Sindaebang"
2,"구로디지털단지",1.1,34.7,"Guro Digital Complex"
